"STATISTIC","Statistic Label","TLIST(A1)","Year","C04064V04826","Semester","C04065V04827","Fuel Sector","C04063V04825","Pricing Bases","C04062V04824","Electricity consumption bands","UNIT","VALUE"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1032"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0889"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0797"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.2168"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1692"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1392"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1142"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0981"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0894"
